t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,collision
9.8188e-05,-75.7538,52.8966,-1.48757,0.116561,0,0,NONE,999.9,0,0
0.00407334,-75.7538,52.8966,-1.48757,0.116561,0,0,NONE,999.9,0,0
0.00857258,-75.7537,52.895,-1.48766,0.211661,-0.0205192,-0.00434312,NONE,999.9,0,0
0.0118991,-75.7537,52.895,-1.48766,0.211661,-0.0205192,-0.00434312,NONE,999.9,0,0
0.016125,-75.7537,52.895,-1.48766,0.211661,-0.0205192,-0.00434312,NONE,999.9,0,0
0.0198322,-75.7535,52.8924,-1.48778,0.306761,-2.14898e-10,-6.59224e-11,NONE,999.9,0,0
0.0238772,-75.7535,52.8924,-1.48778,0.306761,-2.14898e-10,-6.59224e-11,NONE,999.9,0,0
0.0286161,-75.7532,52.8889,-1.48796,0.401861,-0.038958,-0.0156557,NONE,999.9,0,0
0.0320473,-75.7532,52.8889,-1.48796,0.401861,-0.038958,-0.0156557,NONE,999.9,0,0
0.0359464,-75.7532,52.8889,-1.48796,0.401861,-0.038958,-0.0156557,NONE,999.9,0,0
0.0398387,-75.7528,52.8844,-1.48817,0.496961,-4.29797e-10,-2.13592e-10,NONE,999.9,0,0
0.0440222,-75.7528,52.8844,-1.48817,0.496961,-4.29797e-10,-2.13592e-10,NONE,999.9,0,0
0.0484448,-75.7524,52.879,-1.48801,0.592061,0.00882433,0.00522454,NONE,999.9,0,0
0.0519103,-75.7524,52.879,-1.48801,0.592061,0.00882433,0.00522454,NONE,999.9,0,0
0.0559453,-75.7524,52.879,-1.48801,0.592061,0.00882433,0.00522454,NONE,999.9,0,0
0.059903,-75.7518,52.8726,-1.48765,0.687161,0.0586876,0.0403278,NONE,999.9,0,0
0.0640768,-75.7518,52.8726,-1.48765,0.687161,0.0586876,0.0403278,NONE,999.9,0,0
0.0685571,-75.7511,52.8653,-1.48689,0.782261,0.0763917,0.0597582,NONE,999.9,0,0
0.0718617,-75.7511,52.8653,-1.48689,0.782261,0.0763917,0.0597582,NONE,999.9,0,0
0.0759262,-75.7511,52.8653,-1.48689,0.782261,0.0763917,0.0597582,NONE,999.9,0,0
0.080066,-75.7502,52.857,-1.48605,0.875086,0.102362,0.0895756,NONE,999.9,0,0
0.0838801,-75.7502,52.857,-1.48605,0.875086,0.102362,0.0895756,NONE,999.9,0,0
0.0884237,-75.7493,52.8479,-1.48492,0.963497,0.11145,0.107382,NONE,999.9,0,0
0.0918703,-75.7493,52.8479,-1.48492,0.963497,0.11145,0.107382,NONE,999.9,0,0
0.0959432,-75.7493,52.8479,-1.48492,0.963497,0.11145,0.107382,NONE,999.9,0,0
0.0998168,-75.7482,52.8379,-1.48376,1.0477,0.130753,0.13699,NONE,999.9,0,0
0.103948,-75.7482,52.8379,-1.48376,1.0477,0.130753,0.13699,NONE,999.9,0,0
0.108868,-75.747,52.8271,-1.48236,1.12791,0.137403,0.154978,NONE,999.9,0,0
0.112017,-75.747,52.8271,-1.48236,1.12791,0.137403,0.154978,NONE,999.9,0,0
0.115843,-75.747,52.8271,-1.48236,1.12791,0.137403,0.154978,NONE,999.9,0,0
0.120056,-75.7457,52.8155,-1.48097,1.2043,0.153516,0.184879,NONE,999.9,0,0
0.12397,-75.7457,52.8155,-1.48097,1.2043,0.153516,0.184879,NONE,999.9,0,0
0.128483,-75.7444,52.8031,-1.47934,1.27705,0.158814,0.202814,NONE,999.9,0,0
0.131978,-75.7444,52.8031,-1.47934,1.27705,0.158814,0.202814,NONE,999.9,0,0
0.135786,-75.7444,52.8031,-1.47934,1.27705,0.158814,0.202814,NONE,999.9,0,0
0.139909,-75.7429,52.7901,-1.47774,1.34635,0.172935,0.232832,NONE,999.9,0,0
0.143789,-75.7429,52.7901,-1.47774,1.34635,0.172935,0.232832,NONE,999.9,0,0
0.148429,-75.7413,52.7764,-1.47593,1.41235,0.177277,0.250378,NONE,999.9,0,0
0.151701,-75.7413,52.7764,-1.47593,1.41235,0.177277,0.250378,NONE,999.9,0,0
0.155751,-75.7413,52.7764,-1.47593,1.41235,0.177277,0.250378,NONE,999.9,0,0
0.1598,-75.7397,52.762,-1.47416,1.49563,0.188035,0.281232,NONE,999.9,0,0
0.16376,-75.7397,52.762,-1.47416,1.49563,0.188035,0.281232,NONE,999.9,0,0
0.168403,-75.7379,52.7467,-1.4722,1.57496,0.192765,0.303596,NONE,999.9,0,0
0.171854,-75.7379,52.7467,-1.4722,1.57496,0.192765,0.303596,NONE,999.9,0,0
0.175862,-75.7379,52.7467,-1.4722,1.57496,0.192765,0.303596,NONE,999.9,0,0
0.180215,-75.736,52.7307,-1.47027,1.6505,0.204803,0.338027,NONE,999.9,0,0
0.183941,-75.736,52.7307,-1.47027,1.6505,0.204803,0.338027,NONE,999.9,0,0
0.188513,-75.7339,52.714,-1.46794,1.72246,0.268181,0.461931,NONE,999.9,0,0
0.191893,-75.7339,52.714,-1.46794,1.72246,0.268181,0.461931,NONE,999.9,0,0
0.195899,-75.7339,52.714,-1.46794,1.72246,0.268181,0.461931,NONE,999.9,0,0
0.199844,-75.7317,52.6965,-1.465,1.79099,0.305541,0.547222,NONE,999.9,0,0
0.203897,-75.7317,52.6965,-1.465,1.79099,0.305541,0.547222,NONE,999.9,0,0
0.208428,-75.7293,52.6785,-1.46183,1.85627,0.339102,0.629464,NONE,999.9,0,0
0.211919,-75.7293,52.6785,-1.46183,1.85627,0.339102,0.629464,NONE,999.9,0,0
0.215893,-75.7293,52.6785,-1.46183,1.85627,0.339102,0.629464,NONE,999.9,0,0
0.22009,-75.7268,52.6598,-1.45826,1.91844,0.359814,0.690283,NONE,999.9,0,0
0.224034,-75.7268,52.6598,-1.45826,1.91844,0.359814,0.690283,NONE,999.9,0,0
0.228514,-75.7241,52.6405,-1.45461,1.97766,0.38302,0.757484,NONE,999.9,0,0
0.231744,-75.7241,52.6405,-1.45461,1.97766,0.38302,0.757484,NONE,999.9,0,0
0.235894,-75.7241,52.6405,-1.45461,1.97766,0.38302,0.757484,NONE,999.9,0,0
0.239791,-75.7213,52.6206,-1.45064,2.03406,0.396998,0.807517,NONE,999.9,0,0
0.243871,-75.7213,52.6206,-1.45064,2.03406,0.396998,0.807517,NONE,999.9,0,0
0.248759,-75.7183,52.6002,-1.44664,2.08778,0.415361,0.867182,NONE,999.9,0,0
0.25202,-75.7183,52.6002,-1.44664,2.08778,0.415361,0.867182,NONE,999.9,0,0
0.255877,-75.7183,52.6002,-1.44664,2.08778,0.415361,0.867182,NONE,999.9,0,0
0.259855,-75.7151,52.5793,-1.44237,2.13894,0.425853,0.910875,NONE,999.9,0,0
0.263882,-75.7151,52.5793,-1.44237,2.13894,0.425853,0.910875,NONE,999.9,0,0
0.268488,-75.7118,52.5579,-1.4381,2.18767,0.441459,0.965768,NONE,999.9,0,0
0.271905,-75.7118,52.5579,-1.4381,2.18767,0.441459,0.965768,NONE,999.9,0,0
0.275862,-75.7118,52.5579,-1.4381,2.18767,0.441459,0.965768,NONE,999.9,0,0
0.280007,-75.7083,52.5361,-1.43357,2.23409,0.449841,1.00498,NONE,999.9,0,0
0.2839,-75.7083,52.5361,-1.43357,2.23409,0.449841,1.00498,NONE,999.9,0,0
0.28847,-75.7047,52.5138,-1.42907,2.27829,0.463667,1.05637,NONE,999.9,0,0
0.291977,-75.7047,52.5138,-1.42907,2.27829,0.463667,1.05637,NONE,999.9,0,0
0.295899,-75.7047,52.5138,-1.42907,2.27829,0.463667,1.05637,NONE,999.9,0,0
0.299815,-75.7009,52.4912,-1.42433,2.3204,0.47063,1.09205,NONE,999.9,0,0
0.304061,-75.7009,52.4912,-1.42433,2.3204,0.47063,1.09205,NONE,999.9,0,0
0.308486,-75.6969,52.4681,-1.41963,2.3605,0.483203,1.1406,NONE,999.9,0,0
0.311866,-75.6969,52.4681,-1.41963,2.3605,0.483203,1.1406,NONE,999.9,0,0
0.315909,-75.6969,52.4681,-1.41963,2.3605,0.483203,1.1406,NONE,999.9,0,0
0.319801,-75.6928,52.4447,-1.41469,2.3987,0.489134,1.17328,NONE,999.9,0,0
0.323929,-75.6928,52.4447,-1.41469,2.3987,0.489134,1.17328,NONE,999.9,0,0
0.329039,-75.6885,52.4209,-1.40981,2.43508,0.50076,1.21939,NONE,999.9,0,0
0.332513,-75.6885,52.4209,-1.40981,2.43508,0.50076,1.21939,NONE,999.9,0,0
0.335988,-75.6885,52.4209,-1.40981,2.43508,0.50076,1.21939,NONE,999.9,0,0
0.339896,-75.684,52.3968,-1.40471,2.46973,0.50589,1.24941,NONE,999.9,0,0
0.343885,-75.684,52.3968,-1.40471,2.46973,0.50589,1.24941,NONE,999.9,0,0
0.348488,-75.6794,52.3723,-1.39966,2.50273,0.516759,1.29331,NONE,999.9,0,0
0.352285,-75.6794,52.3723,-1.39966,2.50273,0.516759,1.29331,NONE,999.9,0,0
0.356158,-75.6794,52.3723,-1.39966,2.50273,0.516759,1.29331,NONE,999.9,0,0
0.360027,-75.6745,52.3476,-1.3944,2.53459,0.521014,1.32056,NONE,999.9,0,0
0.363906,-75.6745,52.3476,-1.3944,2.53459,0.521014,1.32056,NONE,999.9,0,0
0.368377,-75.6696,52.3226,-1.38921,2.56495,0.531131,1.36232,NONE,999.9,0,0
0.371896,-75.6696,52.3226,-1.38921,2.56495,0.531131,1.36232,NONE,999.9,0,0
0.375819,-75.6696,52.3226,-1.38921,2.56495,0.531131,1.36232,NONE,999.9,0,0
0.380009,-75.6644,52.2973,-1.38381,2.59385,0.535014,1.38775,NONE,999.9,0,0
0.383919,-75.6644,52.2973,-1.38381,2.59385,0.535014,1.38775,NONE,999.9,0,0
0.388455,-75.6591,52.2718,-1.37848,2.62139,0.544698,1.42786,NONE,999.9,0,0
0.39193,-75.6591,52.2718,-1.37848,2.62139,0.544698,1.42786,NONE,999.9,0,0
0.396354,-75.6591,52.2718,-1.37848,2.62139,0.544698,1.42786,NONE,999.9,0,0
0.400071,-75.6535,52.2461,-1.37294,2.64761,0.548155,1.4513,NONE,999.9,0,0
0.403904,-75.6535,52.2461,-1.37294,2.64761,0.548155,1.4513,NONE,999.9,0,0
0.408493,-75.6478,52.2201,-1.36749,2.67259,0.557388,1.48967,NONE,999.9,0,0
0.411921,-75.6478,52.2201,-1.36749,2.67259,0.557388,1.48967,NONE,999.9,0,0
0.415857,-75.6478,52.2201,-1.36749,2.67259,0.557388,1.48967,NONE,999.9,0,0
0.419757,-75.642,52.1939,-1.36182,2.69638,0.56042,1.5111,NONE,999.9,0,0
0.42406,-75.642,52.1939,-1.36182,2.69638,0.56042,1.5111,NONE,999.9,0,0
0.428533,-75.6359,52.1675,-1.35625,2.71904,0.56922,1.54773,NONE,999.9,0,0
0.431999,-75.6359,52.1675,-1.35625,2.71904,0.56922,1.54773,NONE,999.9,0,0
0.435984,-75.6359,52.1675,-1.35625,2.71904,0.56922,1.54773,NONE,999.9,0,0
0.439989,-75.6296,52.1409,-1.35047,2.74062,0.571844,1.56721,NONE,999.9,0,0
0.44408,-75.6296,52.1409,-1.35047,2.74062,0.571844,1.56721,NONE,999.9,0,0
0.448717,-75.6232,52.1142,-1.34478,2.76117,0.580235,1.60213,NONE,999.9,0,0
0.452013,-75.6232,52.1142,-1.34478,2.76117,0.580235,1.60213,NONE,999.9,0,0
0.455883,-75.6232,52.1142,-1.34478,2.76117,0.580235,1.60213,NONE,999.9,0,0
0.459872,-75.6166,52.0873,-1.33889,2.78075,0.582476,1.61972,NONE,999.9,0,0
0.463874,-75.6166,52.0873,-1.33889,2.78075,0.582476,1.61972,NONE,999.9,0,0
0.468591,-75.6097,52.0602,-1.3331,2.79939,0.590482,1.65299,NONE,999.9,0,0
0.471866,-75.6097,52.0602,-1.3331,2.79939,0.590482,1.65299,NONE,999.9,0,0
0.47603,-75.6097,52.0602,-1.3331,2.79939,0.590482,1.65299,NONE,999.9,0,0
0.479901,-75.6027,52.033,-1.32711,2.81715,0.592362,1.66877,NONE,999.9,0,0
0.483914,-75.6027,52.033,-1.32711,2.81715,0.592362,1.66877,NONE,999.9,0,0
0.488573,-75.5955,52.0057,-1.32123,2.83407,0.600007,1.70046,NONE,999.9,0,0
0.492039,-75.5955,52.0057,-1.32123,2.83407,0.600007,1.70046,NONE,999.9,0,0
0.495921,-75.5955,52.0057,-1.32123,2.83407,0.600007,1.70046,NONE,999.9,0,0
0.499836,-75.5881,51.9783,-1.31514,2.85018,0.601548,1.71452,NONE,999.9,0,0
0.503839,-75.5881,51.9783,-1.31514,2.85018,0.601548,1.71452,NONE,999.9,0,0
0.508371,-75.5805,51.9507,-1.30916,2.86552,0.608855,1.74469,NONE,999.9,0,0
0.511906,-75.5805,51.9507,-1.30916,2.86552,0.608855,1.74469,NONE,999.9,0,0
0.515872,-75.5805,51.9507,-1.30916,2.86552,0.608855,1.74469,NONE,999.9,0,0
0.520015,-75.5727,51.9231,-1.30299,2.88014,0.610077,1.75711,NONE,999.9,0,0
0.524052,-75.5727,51.9231,-1.30299,2.88014,0.610077,1.75711,NONE,999.9,0,0
0.52847,-75.5648,51.8953,-1.29693,2.89406,0.617067,1.78583,NONE,999.9,0,0
0.531949,-75.5648,51.8953,-1.29693,2.89406,0.617067,1.78583,NONE,999.9,0,0
0.535931,-75.5648,51.8953,-1.29693,2.89406,0.617067,1.78583,NONE,999.9,0,0
0.539806,-75.5566,51.8675,-1.29068,2.90732,0.617988,1.79669,NONE,999.9,0,0
0.544006,-75.5566,51.8675,-1.29068,2.90732,0.617988,1.79669,NONE,999.9,0,0
0.54845,-75.5482,51.8396,-1.28454,2.91995,0.624679,1.82403,NONE,999.9,0,0
0.552184,-75.5482,51.8396,-1.28454,2.91995,0.624679,1.82403,NONE,999.9,0,0
0.555956,-75.5482,51.8396,-1.28454,2.91995,0.624679,1.82403,NONE,999.9,0,0
0.559952,-75.5396,51.8116,-1.27821,2.93092,0.626158,1.83522,NONE,999.9,0,0
0.563882,-75.5396,51.8116,-1.27821,2.93092,0.626158,1.83522,NONE,999.9,0,0
