t,x,y,yaw,speed,yaw_rate,a_lat,planner,min_d,track_error,fre_min_d,fgm_min_d,fre_track,fgm_track,collision
6.7138e-05,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00204667,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.00620912,-9.99895,7.475,0,0.13314,0,0,NONE,0,0,0,0,0,0,0
0.0099949,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.0141649,-9.99715,7.475,9.5252e-05,0.22824,0.0221265,0.00505015,NONE,0,0,0,0,0,0,0
0.019898,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0221844,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.026208,-9.99439,7.475,0.000504199,0.32334,0.0627561,0.0202916,NONE,0,0,0,0,0,0,0
0.0298595,-9.99068,7.475,0.00103611,0.41844,0.0405653,0.0169741,NONE,0,0,0,0,0,0,0
0.0341451,-9.99068,7.475,0.00103611,0.41844,0.0405653,0.0169741,NONE,0,0,0,0,0,0,0
0.0396776,-9.98602,7.47501,0.00172177,0.51354,0.0689105,0.0353883,NONE,0,0,0,0,0,0,0
0.0420288,-9.98602,7.47501,0.00172177,0.51354,0.0689105,0.0353883,NONE,0,0,0,0,0,0,0
0.0463153,-9.98602,7.47501,0.00172177,0.51354,0.0689105,0.0353883,NONE,0,0,0,0,0,0,0
0.049992,-9.98041,7.47509,0.00231051,0.60864,0.0732155,0.0445619,NONE,0,0,0,0,0,0,0
0.0542596,-9.98041,7.47509,0.00231051,0.60864,0.0732155,0.0445619,NONE,0,0,0,0,0,0,0
0.059944,-9.97385,7.47522,0.00300119,0.70374,0.0906741,0.063811,NONE,0,0,0,0,0,0,0
0.0620944,-9.97385,7.47522,0.00300119,0.70374,0.0906741,0.063811,NONE,0,0,0,0,0,0,0
0.0659814,-9.97385,7.47522,0.00300119,0.70374,0.0906741,0.063811,NONE,0,0,0,0,0,0,0
0.0700176,-9.96634,7.47539,0.00396166,0.79884,0.0933846,0.0745993,NONE,0,0,0,0,0,0,0
0.0740746,-9.96634,7.47539,0.00396166,0.79884,0.0933846,0.0745993,NONE,0,0,0,0,0,0,0
0.079743,-9.95788,7.4756,0.00493218,0.89394,0.112638,0.100692,NONE,0,0,0,0,0,0,0
0.0822842,-9.95788,7.4756,0.00493218,0.89394,0.112638,0.100692,NONE,0,0,0,0,0,0,0
0.0860185,-9.95788,7.4756,0.00493218,0.89394,0.112638,0.100692,NONE,0,0,0,0,0,0,0
0.0903198,-9.94847,7.47585,0.00614575,0.98904,0.119169,0.117863,NONE,0,0,0,0,0,0,0
0.0941002,-9.94847,7.47585,0.00614575,0.98904,0.119169,0.117863,NONE,0,0,0,0,0,0,0
0.100067,-9.9381,7.47613,0.00736972,1.08414,0.136311,0.14778,NONE,0,0,0,0,0,0,0
0.102026,-9.9381,7.47613,0.00736972,1.08414,0.136311,0.14778,NONE,0,0,0,0,0,0,0
0.106178,-9.9381,7.47613,0.00736972,1.08414,0.136311,0.14778,NONE,0,0,0,0,0,0,0
0.110445,-9.92679,7.47646,0.00882064,1.17924,0.143246,0.168922,NONE,0,0,0,0,0,0,0
0.114052,-9.92679,7.47646,0.00882064,1.17924,0.143246,0.168922,NONE,0,0,0,0,0,0,0
0.119658,-9.91453,7.47682,0.0102773,1.27434,0.158417,0.201877,NONE,0,0,0,0,0,0,0
0.122063,-9.91453,7.47682,0.0102773,1.27434,0.158417,0.201877,NONE,0,0,0,0,0,0,0
0.126118,-9.91453,7.47682,0.0102773,1.27434,0.158417,0.201877,NONE,0,0,0,0,0,0,0
